Meal Names,Calories,Total Fat,Saturated Fat,Cholesterol,Protein,Carbs,Sodium,Fiber,Sugars
"Arbys - Chicken Tender 'n Cheese Slider, Burger King - Garden Side Salad – w/o dressing, Chipotle - Chipotle - Cilantro-Lime Brown Rice - Carb, Chipotle - Carnitas - Pro, Chipotle - Romaine Lettuce - Top, Chipotle - Chips regular - Side, McDonald’s - Fruit & Maple Oatmeal",1605.0,64.0,16.5,110.0,58.0,200.0,2005.0,17.0,36.0
"Chipotle - Chipotle - Cilantro-Lime Brown Rice - Carb, Chipotle - Steak - Pro, Chipotle - Roasted Chili-Corn Salsa - Top, Chipotle - Sour Cream - Top, Chipotle - Chipotle - Tortilla burrito - Carb, Chipotle - Chicken - Pro, Chipotle - Guacomole (Side) - Top, KFC - Sweet Kernel Corn (Family), McDonald’s - Fruit & Maple Oatmeal without Brown Sugar",1820.0,68.5,21.0,255.0,87.0,228.0,2285.0,27.0,33.0
"Chipotle - Chipotle - Cilantro-Lime Brown Rice - Carb, Chipotle - Steak - Pro, Chipotle - Tomatillo-Green Chili Salsa - Top, Chipotle - Sour Cream - Top, Chipotle - Chipotle - Crispy Corn Tortilla taco - Carb, Chipotle - Fajita Vegetables - Top, Chipotle - Carnitas - Pro, Chipotle - Tomatillo-Green Chili Salsa - Top, McDonald’s - Fruit & Maple Oatmeal without Brown Sugar, Wendy’s - Natural-Cut Fries, Medium",1610.0,66.0,22.5,195.0,65.0,185.0,2205.0,17.0,26.0
"Burger King - French Toast Sticks (3 piece), Chipotle - Chipotle - Crispy Corn Tortilla taco - Carb, Chipotle - Black Beans - Top, Chipotle - Sofritas - Pro, Chipotle - Cheese - Top, McDonald’s - 4 Piece Chicken McNuggets Happy Meal, Wendy’s - Cheese Baked Potato",1645.0,69.5,15.5,95.0,61.0,196.0,2290.0,22.0,34.0
"Burger King - French Fries – value (unsalted), Burger King - Kids Oatmeal, Chipotle - Chipotle - Cilantro-Lime Brown Rice - Carb, Chipotle - Black Beans - Top, Chipotle - Carnitas - Pro, Chipotle - Guacomole (Side) - Top, Chipotle - Chipotle - Crispy Corn Tortilla taco - Carb, Chipotle - Chicken - Pro, Chipotle - Queso Blanco (Entree) - Top, Chipotle - Romaine Lettuce - Top",1675.0,78.5,30.0,225.0,83.0,166.0,2250.0,25.0,17.0
"Chipotle - Chipotle - Cilantro-Lime Brown Rice - Carb, Chipotle - Barbacoa - Pro, Chipotle - Roasted Chili-Corn Salsa - Top, Chipotle - Romaine Lettuce - Top, Chipotle - Chipotle - Crispy Corn Tortilla taco - Carb, Chipotle - Steak - Pro, Chipotle - Sour Cream - Top, Chipotle - Queso Blanco (Side) - Top, KFC - Corn on the Cob (Family), McDonald’s - Fruit & Maple Oatmeal",1735.0,63.5,20.0,255.0,81.0,218.0,2075.0,24.0,51.0
"Burger King - French Toast Sticks (3 piece), Chipotle - Chipotle - Cilantro-Lime Brown Rice - Carb, Chipotle - Chicken - Pro, Chipotle - Sour Cream - Top, Chipotle - Queso Blanco (Side) - Top, Chipotle - Chipotle - Cilantro-Lime Brown Rice - Carb, Chipotle - Sofritas - Pro, Chipotle - Queso Blanco (Entree) - Top, KFC - Corn on the Cob",1520.0,77.0,26.5,255.0,70.0,140.0,2280.0,10.0,21.0
"Chipotle - Chipotle - Tortilla taco - Carb, Chipotle - Chicken - Pro, Chipotle - Tomatillo-Green Chili Salsa - Top, Chipotle - Sour Cream - Top, McDonald’s - English Muffin, Sonic - Sonic Burger W/ Mustard, Wendy’s - Natural-Cut Fries, Junior",1585.0,74.0,26.0,265.0,80.0,146.0,2165.0,9.0,13.0
"Burger King - Hamburger, Burger King - Pancake and Sausage platter, Chipotle - Chipotle - Cilantro-Lime Brown Rice - Carb, Chipotle - Pinto Beans - Top, Chipotle - Steak - Pro, KFC - Corn on the Cob (Family)",1620.0,56.5,16.5,195.0,67.0,223.0,2135.0,21.0,48.0
"Chipotle - Chipotle - Cilantro-Lime Brown Rice - Carb, Chipotle - Fajita Vegetables - Top, Chipotle - Chicken - Pro, KFC - Corn on the Cob (Family), McDonald’s - Sausage Burrito, Sonic - Sonic Burger W/ Mayonnaise",1730.0,79.0,26.0,350.0,89.0,178.0,2255.0,14.0,22.0
